,bucket,cpu,gcl,population,time
295,9350,4.783681,12307.834761764854,11,
296,9364,4.638453999999999,12318.834761764854,11,
297,9378,5.426496,12329.834761764854,11,
298,9391,7.497901,12340.834761764854,11,
299,9402,24.9498,12351.834761764854,12,
300,9396,4.459034,12364.834761764854,12,
301,9410,21.345374,12377.834761764854,12,
302,9408,5.276305,12390.834761764854,12,
303,9422,8.125473,12401.834761764854,12,
304,9433,4.2125330000000005,12412.834761764854,12,
305,9448,5.814486,12425.834761764854,12,
306,9461,40.056991999999994,12439.834761764854,12,
307,9440,13.254529999999999,12453.834761764854,12,
308,9446,5.138617,12468.834761764854,12,
309,9460,19.275969,12483.834761764854,12,
310,9460,4.7926590000000004,12495.834761764854,12,
311,9474,5.555141,12507.834761764854,12,
312,9473,5.925613,12510.834761764854,12,
313,9486,5.365791,12513.834761764854,12,
314,9500,5.7575709999999996,12516.834761764854,12,
315,9513,14.282561000000001,12516.834761764854,12,
316,9518,4.6672080000000005,12516.834761764854,12,
317,9532,5.11303,12516.834761764854,12,
318,9546,4.666821,12516.834761764854,12,
319,9560,5.56891,12516.834761764854,12,
320,9573,7.86516,12525.834761764854,12,
321,9584,5.339772,12534.834761764854,12,
322,9598,29.826167,12543.834761764854,12,
323,9587,17.832241,12552.834761764854,12,
324,9588,10.91282,12558.834761764854,12,
325,9596,5.756349,12559.834761764854,12,
326,9609,8.832671,12560.834761764854,12,
327,9619,5.318287,12561.834761764854,12,
328,9633,5.376478,12562.834761764854,12,
329,9646,6.655654999999999,12563.834761764854,12,
330,9658,4.734222,12572.834761764854,12,
331,9672,9.517846,12581.834761764854,12,
332,9681,8.629422,12590.834761764854,12,
333,9691,5.0360879999999995,12599.834761764854,12,
334,9705,5.136449,12608.834761764854,12,
335,9719,5.22575,12617.834761764854,12,
336,9733,4.410197,12628.834761764854,12,
337,9748,7.259587,12639.834761764854,12,
338,9760,11.984048999999999,12650.834761764854,12,
339,9767,12.523046999999998,12661.834761764854,12,
340,9773,5.367443,12675.834761764854,12,
341,9787,4.96866,12689.834761764854,12,
342,9801,4.636099,12703.834761764854,12,
343,9815,6.355707,12717.834761764854,12,
344,9827,4.758578999999999,12731.834761764854,12,
345,9841,4.893018,12745.834761764854,12,
346,9855,6.077116,12759.834761764854,12,
