Time,CPU,Bucket
7:22:38,3.3996,9825
7:22:41,3.3879,9841
7:22:44,2.9475,9857
7:22:46,3.0505,9873
7:22:49,3.0370,9889
7:22:52,3.0890,9905
7:22:55,3.0104,9921
7:22:57,3.2230,9937
7:23:01,3.4222,9953
7:23:03,3.0283,9969
7:23:06,3.0635,9985
7:23:09,2.7776,10000
7:23:11,3.6179,10000
7:23:14,2.8699,10000
7:23:17,3.4356,10000
7:23:20,3.8720,10000
7:23:23,6.1135,10000
7:23:26,3.2185,10000
7:23:28,3.3650,10000
7:23:31,3.2222,10000
7:23:34,23.6950,10000
7:23:36,3.1975,9995
7:23:40,19.1949,10000
7:23:42,2.8791,10000
7:23:45,5.5877,10000
7:23:48,5.4816,10000
7:23:51,2.8806,10000
7:23:53,6.1700,10000
7:23:56,5.1055,10000
7:23:59,2.6357,10000
7:24:02,3.8682,10000
7:24:05,2.6969,10000
7:24:08,2.9835,10000
7:24:10,3.1308,10000
7:24:13,2.9328,10000
7:24:16,2.8158,10000
7:24:19,2.6353,10000
7:24:22,5.8725,10000
7:24:27,157.4070,11000
7:24:28,3.4183,10000
7:24:32,3.8899,10000
7:24:35,159.6629,10000
7:24:37,176.1418,9859
7:24:40,2.9169,9702
7:24:43,3.0887,9718
7:24:46,3.5628,9734
7:24:49,2.8224,9750
7:24:52,2.9333,9766
7:24:55,3.3747,9782
7:24:57,3.0486,9798
7:25:00,2.9068,9814
7:25:05,3.3436,9830
7:25:09,3.1834,9846
7:25:13,3.1996,9848
7:25:18,211.1977,9864
7:25:21,3.3510,9672
7:25:25,3.7744,9688
7:25:29,3.1162,9703
7:25:34,3.7939,9719
7:25:38,3.0654,9734
7:25:41,3.2466,9750
7:25:45,2.8907,9765
7:25:48,5.8024,9781
7:25:51,2.8299,9794
7:25:55,3.6400,9810
7:25:58,2.9165,9825
7:26:02,2.8351,9841
7:26:05,2.8171,9857
7:26:07,2.6712,9873
7:26:11,2.6084,9889
7:26:14,2.8846,9906
9:33:32,3.4441,10000
9:33:35,2.9031,10000
9:33:38,2.8731,10000
9:33:40,3.0759,10000
9:33:43,3.4923,10000
9:33:46,2.9555,10000
9:33:49,2.9333,10000
9:33:52,2.5343,10000
9:33:54,18.8521,10000
9:33:57,7.0375,10000
9:34:01,2.8622,10000
9:34:03,3.1695,10000
9:34:06,3.1870,10000
9:34:09,2.7320,10000
9:34:12,2.8522,10000
9:34:14,3.2005,10000
9:34:17,2.9120,10000
9:34:20,2.9724,10000
9:34:23,23.0292,10000
9:34:25,5.7676,9996
9:34:29,6.9646,10000
9:34:31,3.1180,10000
9:34:34,32.3850,10000
9:34:37,2.7991,9987
9:34:40,6.2872,10000
9:34:42,3.1014,10000
9:34:45,3.1411,10000
9:34:48,2.9391,10000
9:34:51,3.1821,10000
9:34:54,7.1875,10000
9:34:59,164.8690,11000
9:35:03,158.1856,10000
9:35:04,180.1158,9861
9:35:07,3.4765,9700
9:35:09,160.2599,9716
9:35:12,3.5601,9575
9:35:15,6.4271,9591
9:35:18,2.9576,9604
9:35:21,3.6292,9620
9:35:23,3.0873,9635
9:35:26,3.1254,9651
9:35:29,13.7230,9667
9:35:32,26.7015,9672
9:35:35,2.7162,9664
9:35:38,2.9568,9680
9:35:40,2.7915,9696
9:35:43,3.3472,9712
9:35:46,7.9075,9728
9:35:48,7.4064,9739
9:35:51,4.3072,9751
9:35:54,3.1114,9766
9:35:57,2.9719,9782
9:35:59,3.7213,9798
9:36:02,3.1294,9813
9:36:05,3.0395,9829
9:36:08,2.8540,9845
9:36:11,3.4650,9861
9:36:14,3.0911,9877
9:36:16,3.8099,9893
9:36:19,3.0823,9908
9:36:22,2.9498,9924
9:36:25,2.7010,9940
9:36:28,2.9187,9956
9:36:31,2.7744,9972
9:36:33,2.7197,9988
9:36:36,2.7353,10000
9:36:39,5.0606,10000
9:36:41,2.8240,10000
10:25:40,5.4326,9970
10:25:43,13.7505,9984
10:25:45,2.8350,9989
10:25:48,20.2501,10000
10:25:51,3.0349,9999
10:25:53,3.9507,10000
10:25:56,2.8790,10000
10:26:00,3.7560,10000
10:26:03,4.5385,10000
10:26:05,2.9482,10000
10:26:08,3.0461,10000
10:26:11,3.1723,10000
10:26:14,2.7815,10000
10:26:17,23.0556,10000
10:26:20,20.6333,9996
10:26:22,3.4304,9994
10:26:25,3.0067,10000
10:26:28,3.4230,10000
10:26:31,2.8684,10000
10:26:33,2.7140,10000
10:26:36,2.9008,10000
10:26:39,2.8553,10000
10:26:42,27.8795,10000
10:26:45,5.4463,9991
10:26:48,2.7265,10000
10:26:51,2.8207,10000
10:26:53,2.7508,10000
10:26:56,3.0198,10000
10:27:00,3.1666,10000
10:27:02,2.8886,10000
10:27:05,2.7851,10000
10:27:08,3.3216,10000
10:27:10,2.6353,10000
10:27:13,2.7202,10000
10:27:16,5.3266,10000
10:27:19,2.9728,10000
10:27:22,5.6986,10000
10:27:24,3.4802,10000
10:27:27,3.1668,10000
10:27:30,3.4885,10000
10:27:33,2.6950,10000
10:27:36,2.8066,10000
10:27:39,5.6739,10000
10:27:41,3.3106,10000
10:27:44,5.7120,10000
10:27:47,2.8038,10000
10:27:50,3.0983,10000
10:27:52,2.8940,10000
10:27:55,3.2663,10000
10:27:58,3.0490,10000
10:28:02,2.6978,10000
10:28:04,6.8531,10000
10:28:07,3.2002,10000
10:28:09,6.0469,10000
10:28:12,3.2502,10000
10:28:15,3.2973,10000
10:28:18,3.0273,10000
10:28:21,3.1426,10000
10:28:23,5.8021,10000
10:28:26,3.0221,10000
10:28:29,2.9546,10000
10:28:35,164.1818,11000
10:28:36,184.4668,10000
10:28:39,156.7863,9835
10:28:41,152.1903,9697
10:28:44,3.1121,9564
10:28:48,169.7262,9580
10:28:50,2.9205,9414
10:28:53,169.7724,9430
10:28:55,3.0942,9279
10:28:58,2.8469,9295
10:29:01,4.0001,9311
